Word,Created,Tag,Previous_date,Easiness,Interval,Next_date,EF_score,Repetitions,Focused
aufrappeln,2022-12-22 19:48:03.943537,,2022-12-25 15:49:12.961355,4.0,1.0,2022-12-26 15:49:12.961355,2.18,1.0,
machen,2022-12-22 20:10:45.557315,,2022-12-25 16:09:31.703886,4.0,2.7,2022-12-28 16:09:31.703886,2.7,3.0,
tisch,2022-12-24 11:14:43.500070,,2022-12-25 15:59:50.739627,4.0,1.0,2022-12-26 15:59:50.739627,2.5,1.0,1.0
saugen,2022-12-25 16:12:37.228455,,2022-12-25 16:13:20.268439,4.0,1.0,2022-12-26 16:13:20.268439,2.5,1.0,
blasen,2022-12-25 16:16:20.378749,,2022-12-25 16:17:02.115344,4.0,1.0,2022-12-26 16:17:02.115344,2.5,1.0,
begehren,2022-12-25 16:38:42.072945,,2022-12-25 16:39:02.163158,4.0,1.0,2022-12-26 16:39:02.163158,2.5,1.0,
quatsch,2022-12-25 16:46:35.974940,,2022-12-25 16:46:54.040671,4.0,1.0,2022-12-26 16:46:54.040671,2.5,1.0,
überlegen,2022-12-25 17:58:29.883028,,2022-12-25 17:58:42.556938,4.0,1.0,2022-12-26 17:58:42.556938,2.5,1.0,
sehen,2022-12-25 18:00:10.137349,,2022-12-25 18:06:36.960626,4.0,1.0,2022-12-26 18:06:36.960626,2.5,1.0,
lügen,2022-12-25 18:00:22.786213,,2022-12-25 18:09:04.416086,4.0,1.0,2022-12-26 18:09:04.416086,2.5,1.0,
ficken,2022-12-25 18:18:42.005578,,2022-12-25 18:18:52.262175,4.0,1.0,2022-12-26 18:18:52.262175,2.5,1.0,
